"","Type","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","M2","Temperature",-0.0874048140544132,0.412687502138857,0.444432694611077,""
"V2","All","M8","Temperature",0.344169726086191,0.000895256040929735,0.00179051208185947,"**"
"V3","All","M14","Temperature",0.0583156857861246,0.58509149880512,0.58509149880512,""
"V4","All","M6","Temperature",-0.158535300668177,0.135586403134617,0.172564513080422,""
"V5","All","M4","Temperature",-0.39054174753263,0.000141514620772827,0.000330200781803263,"***"
"V6","All","M3","Temperature",0.592624673674309,7.58468435980094e-10,5.30927905186066e-09,"***"
"V7","All","M12","Temperature",-0.0937601516758316,0.37940578366534,0.442640080942897,""
"V8","All","M1","Temperature",-0.731651473498641,2.60071598126948e-16,3.64100237377727e-15,"***"
"V9","All","M7","Temperature",0.475335182900328,2.19907951290981e-06,7.69677829518433e-06,"***"
"V10","All","M10","Temperature",-0.42914654554277,2.43811023472324e-05,6.82670865722507e-05,"***"
"V11","All","M9","Temperature",-0.219302829741789,0.0378236866903954,0.0588368459628373,""
"V12","All","M11","Temperature",0.237530739806276,0.0241784149058104,0.0423122260851682,"*"
"V13","All","M13","Temperature",0.190856922144761,0.0715579059654218,0.100181068351591,""
"V14","All","M5","Temperature",0.507433025535248,3.31945494884085e-07,1.54907897612573e-06,"***"
"V15","All","M2","Precipitation",0.0565612831808396,0.596451032537604,0.596451032537604,""
"V16","All","M8","Precipitation",0.150933711398007,0.155602846394394,0.217843984952152,""
"V17","All","M14","Precipitation",0.134324252678456,0.20686679732474,0.222779627888182,""
"V18","All","M6","Precipitation",-0.380510253869492,0.000215971421161881,0.000604719979253267,"***"
"V19","All","M4","Precipitation",-0.14261504138581,0.179947039224934,0.222492793672526,""
"V20","All","M3","Precipitation",0.470160035494984,2.93094179593383e-06,2.05165925715368e-05,"***"
"V21","All","M12","Precipitation",-0.196560969690569,0.0633348569705424,0.110835999698449,""
"V22","All","M1","Precipitation",-0.61774955274033,8.82182973211366e-11,1.23505616249591e-09,"***"
"V23","All","M7","Precipitation",0.297621865816762,0.00438732213135132,0.00877464426270264,"**"
"V24","All","M10","Precipitation",-0.421708120857648,3.47981494883464e-05,0.00016239136427895,"***"
"V25","All","M9","Precipitation",-0.16781223247893,0.113881117147454,0.177148404451595,""
"V26","All","M11","Precipitation",0.345412111624028,0.00085510255548478,0.00199523929613115,"**"
"V27","All","M13","Precipitation",0.139199897092368,0.190708108862165,0.222492793672526,""
"V28","All","M5","Precipitation",0.389356056849935,0.000148870801375376,0.000521047804813816,"***"
"V29","All","M2","TOC",0.0837355319208931,0.432652855207121,0.605713997289969,""
"V30","All","M8","TOC",-0.913213397444345,4.53362384374441e-36,6.34707338124217e-35,"***"
"V31","All","M14","TOC",0.0749887332467388,0.482397833288133,0.613960878730351,""
"V32","All","M6","TOC",-0.115729458457891,0.277384511485909,0.477363281914781,""
"V33","All","M4","TOC",0.560039641537635,9.51510951105347e-09,6.66057665773743e-08,"***"
"V34","All","M3","TOC",-0.174689615114855,0.0996044589411219,0.348615606293927,""
"V35","All","M12","TOC",-0.141791580717188,0.182500245116041,0.441270463250994,""
"V36","All","M1","TOC",0.130380136351364,0.220635231625497,0.441270463250994,""
"V37","All","M7","TOC",-0.108908591335415,0.306876395516645,0.477363281914781,""
"V38","All","M10","TOC",-0.209726624404464,0.0472611024475974,0.220551811422121,""
"V39","All","M9","TOC",-0.0390020756949581,0.715131576521997,0.834320172608996,""
"V40","All","M11","TOC",-0.0241065510812594,0.821566382990138,0.877268860878428,""
"V41","All","M13","TOC",0.0165082502002799,0.877268860878428,0.877268860878428,""
"V42","All","M5","TOC",-0.132513860761263,0.213108566023416,0.441270463250994,""
"V43","All","M2","NH4",-0.0124937048268713,0.906960356269162,0.906960356269162,""
"V44","All","M8","NH4",0.0490757288488075,0.645988457546655,0.695679877357936,""
"V45","All","M14","NH4",-0.0895375397831311,0.401333843910918,0.529339534788461,""
"V46","All","M6","NH4",0.19602932824043,0.0640672928257249,0.445260214331616,""
"V47","All","M4","NH4",-0.0976339883897238,0.359939882272124,0.529339534788461,""
"V48","All","M3","NH4",-0.139163327070351,0.190825806142121,0.445260214331616,""
