"","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"S1",0,0.996003996003996,0.994005994005994,0.99000999000999,0.972027972027972,0.966033966033966,0.986013986013986,0.998001998001998,0.934065934065934,0.982017982017982,0.936063936063936,0.956043956043956,-0.016983016983017,0.0109890109890109,-0.194805194805195,0.668331668331668,0.552447552447553,0.376623376623377,0.988011988011988,0.992007992007992,0.974025974025974,0.876123876123876,0.458541458541458,0.774225774225774,-0.012987012987013,0.440559440559441,0.918081918081918,0.882117882117882,0.206793206793207,0.66033966033966,-0.72027972027972,-0.712287712287712,-0.704295704295704,-0.848151848151848,-0.572427572427572,0.066933066933067,-0.704295704295704,-0.606393606393606,-0.644355644355644,-0.888111888111888,-0.97002997002997,-0.992007992007992,-0.972027972027972,-0.972027972027972,-0.932067932067932,-0.954045954045954,-0.948051948051948,-0.592407592407592,-0.83016983016983,-0.702297702297702,-0.972027972027972,-0.986013986013986,-0.986013986013986,-0.95004995004995,-0.978021978021978,-0.988011988011988,-0.952047952047952,-0.944055944055944,-0.358641358641359,-0.434565434565435,-0.284715284715285,-0.254745254745255,-0.174825174825175,-0.894105894105894,-0.914085914085914,0.208791208791209,0.452547452547453,0.824175824175824,0.294705294705295,0.134865134865135,-0.178821178821179,-0.380619380619381,-0.314685314685315,-0.326673326673327,-0.51048951048951,0.0309690309690309,0.602397602397602,0.176823176823177,0.426573426573427,0.140859140859141,-0.264735264735265,0.394605394605395,0.494505494505495,0.0389610389610389,0.318681318681319,0.268731268731269,0.178821178821179,-0.122877122877123,0.136863136863137,0.388611388611389
"S2",0.996003996003996,0,0.998001998001998,0.998001998001998,0.994005994005994,0.998001998001998,0.992007992007992,0.998001998001998,0.974025974025974,0.994005994005994,0.956043956043956,0.982017982017982,-0.054945054945055,-0.014985014985015,-0.174825174825175,0.692307692307692,0.564435564435565,0.408591408591409,0.998001998001998,0.998001998001998,0.996003996003996,0.956043956043956,0.786213786213786,0.846153846153846,0.206793206793207,0.542457542457542,0.986013986013986,0.972027972027972,0.258741258741259,0.864135864135864,-0.674325674325674,-0.758241758241758,-0.896103896103896,-0.874125874125874,-0.626373626373626,0.014985014985015,-0.54045954045954,-0.63036963036963,-0.544455544455544,-0.836163836163836,-0.952047952047952,-0.98001998001998,-0.996003996003996,-0.982017982017982,-0.99000999000999,-0.984015984015984,-0.986013986013986,-0.778221778221778,-0.928071928071928,-0.772227772227772,-0.988011988011988,-0.996003996003996,-0.988011988011988,-0.982017982017982,-0.994005994005994,-0.998001998001998,-0.994005994005994,-0.988011988011988,-0.384615384615385,-0.552447552447553,-0.974025974025974,-0.9000999000999,-0.94005994005994,-0.92007992007992,-0.95004995004995,-0.0729270729270729,0.0829170829170829,-0.194805194805195,-0.592407592407592,-0.904095904095904,-0.822177822177822,-0.882117882117882,-0.848151848151848,-0.872127872127872,-0.92007992007992,-0.712287712287712,-0.198801198801199,0.020979020979021,-0.230769230769231,-0.54045954045954,-0.83016983016983,0.052947052947053,0.168831168831169,-0.196803196803197,-0.224775224775225,-0.524475524475524,-0.626373626373626,-0.746253746253746,-0.302697302697303,-0.556443556443556
"S3",0.994005994005994,0.998001998001998,0,0.998001998001998,0.988011988011988,0.994005994005994,0.998001998001998,0.998001998001998,0.966033966033966,0.994005994005994,0.928071928071928,0.994005994005994,-0.324675324675325,-0.208791208791209,-0.266733266733267,0.298701298701299,0.252747252747253,0.0589410589410588,0.998001998001998,0.998001998001998,0.998001998001998,0.952047952047952,0.472527472527473,0.71028971028971,0.0449550449550449,0.350649350649351,0.976023976023976,0.876123876123876,-0.0849150849150849,0.692307692307692,-0.818181818181818,-0.8001998001998,-0.92007992007992,-0.864135864135864,-0.606393606393606,-0.416583416583417,-0.496503496503496,-0.608391608391608,-0.326673326673327,-0.834165834165834,-0.938061938061938,-0.982017982017982,-1,-0.996003996003996,-0.992007992007992,-0.996003996003996,-0.99000999000999,-0.91008991008991,-0.988011988011988,-0.912087912087912,-1,-1,-1,-0.998001998001998,-0.998001998001998,-1,-0.998001998001998,-0.988011988011988,-0.726273726273726,-0.852147852147852,-0.99000999000999,-0.926073926073926,-0.97002997002997,-0.976023976023976,-0.984015984015984,-0.586413586413586,-0.448551448551449,-0.72027972027972,-0.756243756243756,-0.972027972027972,-0.912087912087912,-0.946053946053946,-0.942057942057942,-0.898101898101898,-0.956043956043956,-0.87012987012987,-0.676323676323676,-0.548451548451548,-0.398601398601399,-0.76023976023976,-0.946053946053946,-0.202797202797203,-0.492507492507492,-0.506493506493507,-0.628371628371628,-0.812187812187812,-0.868131868131868,-0.932067932067932,-0.65034965034965,-0.78021978021978
"S4",0.99000999000999,0.998001998001998,0.998001998001998,0,0.998001998001998,0.99000999000999,0.998001998001998,0.998001998001998,0.976023976023976,0.996003996003996,0.958041958041958,0.984015984015984,-0.384615384615385,-0.186813186813187,-0.372627372627373,0.328671328671329,0.0649350649350648,0.164835164835165,0.998001998001998,0.998001998001998,0.998001998001998,0.966033966033966,0.330669330669331,0.594405594405594,-0.086913086913087,0.252747252747253,0.968031968031968,0.846153846153846,0.0709290709290709,0.538461538461539,-0.748251748251748,-0.826173826173826,-0.842157842157842,-0.83016983016983,-0.480519480519481,-0.360639360639361,-0.412587412587413,-0.532467532467533,-0.430569430569431,-0.748251748251748,-0.944055944055944,-0.976023976023976,-0.994005994005994,-0.996003996003996,-0.986013986013986,-0.996003996003996,-0.996003996003996,-0.94005994005994,-0.98001998001998,-0.958041958041958,-1,-0.998001998001998,-1,-0.996003996003996,-1,-1,-1,-0.994005994005994,-0.826173826173826,-0.906093906093906,-0.99000999000999,-0.964035964035964,-0.98001998001998,-0.976023976023976,-0.97002997002997,-0.694305694305694,-0.638361638361638,-0.816183816183816,-0.894105894105894,-0.988011988011988,-0.95004995004995,-0.968031968031968,-0.958041958041958,-0.948051948051948,-0.984015984015984,-0.878121878121878,-0.738261738261738,-0.568431568431568,-0.498501498501498,-0.844155844155844,-0.964035964035964,-0.410589410589411,-0.536463536463536,-0.726273726273726,-0.66033966033966,-0.832167832167832,-0.886113886113886,-0.95004995004995,-0.654345654345654,-0.856143856143856
"S5",0.972027972027972,0.994005994005994,0.988011988011988,0.998001998001998,0,0.998001998001998,0.998001998001998,0.978021978021978,0.998001998001998,0.998001998001998,0.998001998001998,0.998001998001998,-0.294705294705295,-0.266733266733267,-0.256743256743257,0.252747252747253,0.142857142857143,0.220779220779221,0.96003996003996,0.986013986013986,0.986013986013986,0.872127872127872,0.186813186813187,0.554445554445554,0.072927072927073,0.298701298701299,0.788211788211788,0.56043956043956,0.146853146853147,0.288711288711289,-0.638361638361638,-0.718281718281718,-0.846153846153846,-0.86013986013986,-0.450549450549451,-0.292707292707293,-0.564435564435564,-0.678321678321678,-0.438561438561439,-0.812187812187812,-0.95004995004995,-0.988011988011988,-0.994005994005994,-0.984015984015984,-0.976023976023976,-0.996003996003996,-0.988011988011988,-0.888111888111888,-0.984015984015984,-0.848151848151848,-0.99000999000999,-0.996003996003996,-0.998001998001998,-0.99000999000999,-0.988011988011988,-0.994005994005994,-0.988011988011988,-0.988011988011988,-0.802197802197802,-0.832167832167832,-0.998001998001998,-0.938061938061938,-0.98001998001998,-0.944055944055944,-0.96003996003996,-0.822177822177822,-0.706293706293706,-0.838161838161838,-0.926073926073926,-0.982017982017982,-0.868131868131868,-0.918081918081918,-0.936063936063936,-0.95004995004995,-0.956043956043956,-0.908091908091908,-0.816183816183816,-0.65034965034965,-0.364635364635365,-0.874125874125874,-0.942057942057942,-0.582417582417582,-0.578421578421578,-0.724275724275724,-0.71028971028971,-0.84015984015984,-0.892107892107892,-0.932067932067932,-0.792207792207792,-0.868131868131868
"S6",0.966033966033966,0.998001998001998,0.994005994005994,0.99000999000999,0.998001998001998,0,0.998001998001998,0.976023976023976,0.998001998001998,0.998001998001998,0.998001998001998,0.998001998001998,-0.566433566433566,-0.516483516483516,-0.536463536463536,0.0369630369630369,-0.130869130869131,-0.044955044955045,0.964035964035964,0.974025974025974,0.98001998001998,0.844155844155844,0.052947052947053,0.360639360639361,-0.138861138861139,0.172827172827173,0.8001998001998,0.398601398601399,-0.164835164835165,0.270729270729271,-0.86013986013986,-0.852147852147852,-0.94005994005994,-0.906093906093906,-0.73026973026973,-0.338661338661339,-0.716283716283716,-0.74025974025974,-0.558441558441559,-0.838161838161838,-0.976023976023976,-0.986013986013986,-0.996003996003996,-0.988011988011988,-0.998001998001998,-0.99000999000999,-0.984015984015984,-0.886113886113886,-0.99000999000999,-0.896103896103896,-1,-1,-0.998001998001998,-0.998001998001998,-0.994005994005994,-1,-0.998001998001998,-0.986013986013986,-0.738261738261738,-0.856143856143856,-0.996003996003996,-0.932067932067932,-0.982017982017982,-0.982017982017982,-0.984015984015984,-0.784215784215784,-0.704295704295704,-0.766233766233766,-0.896103896103896,-0.976023976023976,-0.882117882117882,-0.98001998001998,-0.962037962037962,-0.948051948051948,-0.968031968031968,-0.888111888111888,-0.718281718281718,-0.72027972027972,-0.320679320679321,-0.806193806193806,-0.95004995004995,-0.384615384615385,-0.642357642357642,-0.642357642357642,-0.7002997002997,-0.818181818181818,-0.834165834165834,-0.89010989010989,-0.694305694305694,-0.834165834165834
"S7",0.986013986013986,0.992007992007992,0.998001998001998,0.998001998001998,0.998001998001998,0.998001998001998,0,0.988011988011988,0.998001998001998,0.998001998001998,0.998001998001998,0.998001998001998,-0.584415584415584,-0.500499500499501,-0.614385614385614,0.0369630369630369,-0.112887112887113,0.040959040959041,0.992007992007992,0.996003996003996,0.99000999000999,0.926073926073926,0.134865134865135,0.494505494505495,-0.184815184815185,0.206793206793207,0.888111888111888,0.488511488511489,-0.260739260739261,0.190809190809191,-0.902097902097902,-0.932067932067932,-0.972027972027972,-0.932067932067932,-0.824175824175824,-0.666333666333666,-0.764235764235764,-0.892107892107892,-0.816183816183816,-0.902097902097902,-0.982017982017982,-0.988011988011988,-1,-0.994005994005994,-0.99000999000999,-0.998001998001998,-0.99000999000999,-0.908091908091908,-0.996003996003996,-0.89010989010989,-0.998001998001998,-1,-0.998001998001998,-0.994005994005994,-0.996003996003996,-0.996003996003996,-0.994005994005994,-0.986013986013986,-0.77022977022977,-0.824175824175824,-0.986013986013986,-0.91008991008991,-0.978021978021978,-0.978021978021978,-0.98001998001998,-0.758241758241758,-0.588411588411588,-0.694305694305694,-0.872127872127872,-0.974025974025974,-0.826173826173826,-0.954045954045954,-0.966033966033966,-0.954045954045954,-0.956043956043956,-0.912087912087912,-0.644355644355644,-0.634365634365634,-0.060939060939061,-0.786213786213786,-0.932067932067932,-0.280719280719281,-0.520479520479521,-0.668331668331668,-0.594405594405594,-0.79020979020979,-0.794205794205794,-0.886113886113886,-0.582417582417582,-0.742257742257742
"S9",0.998001998001998,0.998001998001998,0.998001998001998,0.998001998001998,0.978021978021978,0.976023976023976,0.988011988011988,0,0.944055944055944,0.982017982017982,0.944055944055944,0.968031968031968,-0.0949050949050949,-0.116883116883117,-0.198801198801199,0.66033966033966,0.574425574425574,0.468531468531469,0.974025974025974,0.992007992007992,0.972027972027972,0.85014985014985,0.712287712287712,0.88011988011988,0.174825174825175,0.55044955044955,0.972027972027972,0.888111888111888,0.374625374625375,0.868131868131868,-0.654345654345654,-0.68031968031968,-0.714285714285714,-0.764235764235764,-0.58041958041958,-0.044955044955045,-0.672327672327672,-0.596403596403596,-0.652347652347652,-0.82017982017982,-0.92007992007992,-0.982017982017982,-0.99000999000999,-0.966033966033966,-0.978021978021978,-0.974025974025974,-0.976023976023976,-0.75024975024975,-0.944055944055944,-0.648351648351648,-0.97002997002997,-0.992007992007992,-0.98001998001998,-0.992007992007992,-0.978021978021978,-0.992007992007992,-0.99000999000999,-0.968031968031968,-0.302697302697303,-0.456543456543457,-0.838161838161838,-0.528471528471528,-0.742257742257742,-0.964035964035964,-0.94005994005994,-0.012987012987013,0.118881118881119,0.210789210789211,-0.150849150849151,-0.438561438561439,-0.374625374625375,-0.738261738261738,-0.676323676323676,-0.636363636363636,-0.744255744255744,-0.528471528471528,0.196803196803197,-0.054945054945055,0.248751248751249,-0.130869130869131,-0.624375624375624,0.148851148851149,0.154845154845155,-0.102897102897103,0.048951048951049,-0.116883116883117,-0.216783216783217,-0.532467532467533,-0.168831168831169,0.0449550449550449
"S10",0.934065934065934,0.974025974025974,0.966033966033966,0.976023976023976,0.998001998001998,0.998001998001998,0.998001998001998,0.944055944055944,0,0.998001998001998,0.998001998001998,0.998001998001998,-0.79020979020979,-0.722277722277722,-0.744255744255744,-0.360639360639361,-0.596403596403596,-0.248751248751249,0.95004995004995,0.95004995004995,0.956043956043956,0.71028971028971,-0.424575424575425,-0.0209790209790209,-0.388611388611389,-0.086913086913087,0.63036963036963,0.176823176823177,-0.434565434565435,-0.264735264735265,-0.908091908091908,-0.89010989010989,-0.974025974025974,-0.984015984015984,-0.826173826173826,-0.662337662337662,-0.83016983016983,-0.9000999000999,-0.652347652347652,-0.952047952047952,-0.984015984015984,-0.998001998001998,-1,-0.994005994005994,-0.996003996003996,-0.996003996003996,-0.996003996003996,-0.966033966033966,-1,-0.96003996003996,-1,-1,-1,-1,-0.998001998001998,-1,-0.996003996003996,-0.994005994005994,-0.9000999000999,-0.908091908091908,-0.978021978021978,-0.876123876123876,-0.952047952047952,-0.988011988011988,-0.992007992007992,-0.852147852147852,-0.87012987012987,-0.85014985014985,-0.864135864135864,-0.92007992007992,-0.904095904095904,-0.984015984015984,-0.954045954045954,-0.952047952047952,-0.962037962037962,-0.956043956043956,-0.69030969030969,-0.834165834165834,-0.298701298701299,-0.848151848151848,-0.928071928071928,-0.51048951048951,-0.762237762237762,-0.766233766233766,-0.794205794205794,-0.852147852147852,-0.872127872127872,-0.934065934065934,-0.732267732267732,-0.71028971028971
"S11",0.982017982017982,0.994005994005994,0.994005994005994,0.996003996003996,0.998001998001998,0.998001998001998,0.998001998001998,0.982017982017982,0.998001998001998,0,0.998001998001998,0.998001998001998,-0.638361638361638,-0.62037962037962,-0.394605394605395,-0.204795204795205,-0.254745254745255,0.034965034965035,0.98001998001998,0.992007992007992,0.984015984015984,0.84015984015984,-0.226773226773227,0.222777222777223,-0.242757242757243,0.0649350649350648,0.682317682317682,0.232767232767233,-0.0629370629370629,-0.014985014985015,-0.766233766233766,-0.776223776223776,-0.944055944055944,-0.888111888111888,-0.708291708291708,-0.466533466533467,-0.712287712287712,-0.764235764235764,-0.696303696303696,-0.864135864135864,-0.928071928071928,-0.984015984015984,-0.994005994005994,-0.996003996003996,-0.99000999000999,-1,-0.994005994005994,-0.942057942057942,-1,-0.92007992007992,-0.994005994005994,-1,-0.996003996003996,-1,-0.996003996003996,-0.994005994005994,-0.994005994005994,-0.986013986013986,-0.852147852147852,-0.832167832167832,-0.982017982017982,-0.874125874125874,-0.934065934065934,-0.982017982017982,-0.978021978021978,-0.832167832167832,-0.82017982017982,-0.756243756243756,-0.754245754245754,-0.922077922077922,-0.82017982017982,-0.934065934065934,-0.938061938061938,-0.94005994005994,-0.968031968031968,-0.944055944055944,-0.682317682317682,-0.788211788211788,-0.150849150849151,-0.796203796203796,-0.878121878121878,-0.516483516483516,-0.664335664335664,-0.754245754245754,-0.654345654345654,-0.768231768231768,-0.782217782217782,-0.854145854145854,-0.666333666333666,-0.702297702297702
