"","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"S1",0,-6.55434699783138,-6.56322817439789,-6.3078604499322,-6.15251730408013,-5.83521539726502,-6.49698283276361,-6.15488105786736,-5.04736415363294,-4.44180152336911,-4.55341946106237,-5.1031833216113,-3.25192555142316,-3.90134979618066,-0.0653060827935014,-3.52318021828005,-5.03237887992499,-2.78694269740144,-5.00263272344656,-4.59253168429351,-3.98521519371154,-4.55149960608954,-4.04488797520684,-5.75657337832012,-2.16746477214669,-4.38937323238127,-6.10617149701635,-6.20544234914853,-0.697706498086545,-5.73770974387795,-0.394512372071251,-0.115663531782213,-1.43166869287399,-0.94964026142917,-2.10196184239814,-2.41366071770955,-1.29517125684302,-1.14934914002116,-1.89486099259747,-0.251635930705194,-0.859005523378954,0.184980442668026,1.83163700539182,0.488754904472059,0.810625700783201,1.10678815519804,1.43347304135186,-2.38924550948179,-1.67518958043613,-1.63978550271923,2.8089332959357,2.80249278389574,2.65767819996102,2.01059958931058,1.65668101457059,4.21249833622311,1.12455390334944,1.40547567953195,-3.3886095170658,-3.37915861935213,-2.94954535778727,-3.06352582332121,-3.40012022322639,1.4357916374103,3.982443078993,-5.09047356541269,-5.35411849571025,-5.53526828719305,-3.71771466142022,-5.10932063789146,-2.15552014086966,-0.141715569004383,-2.6585031740671,-3.1293562312134,-0.267923931860663,-3.10457033496928,-5.1545041050316,-3.3557260126199,-4.24643193409176,-4.4439190140086,-3.39909547811874,-4.91174818180576,-4.21281777133944,-3.09861479558041,-3.85333735652597,-4.43884195939962,-3.4719773628412,-2.4040841223346,-4.12202369873997,-4.91472298713892
"S2",-6.55434699783138,0,-6.67819735249638,-6.67472075925131,-6.12406583527325,-6.75474257318842,-6.86582712529177,-6.14840100017186,-5.53565259932054,-4.82866012871,-4.73071378503475,-5.80128944376125,-1.76876580811026,-3.88605748316707,1.57457296179212,-3.64898128700261,-4.62232005309782,-3.36118442209778,-5.53182656290995,-5.36120759134633,-4.65946591936232,-5.39622196519353,-5.53339852307857,-5.10191230892495,-2.98715656753499,-4.34069722448456,-6.96871032467138,-6.43365602356077,-2.67901713869229,-6.4001319820651,-2.60003434580599,-2.52114054571174,-1.93188557084605,-2.26716461644736,-2.31568334871431,-2.46511791486296,-1.98798641523102,-1.96971199427159,-1.81335899151367,-1.00190483327675,-1.56957508487531,-1.40017546703661,1.14051060555749,0.322777841046141,-0.218712269973175,1.28358775445965,0.825237214878938,-2.37817572955017,-1.05132083251117,-2.00371889616974,1.46480149667526,1.26398483759218,1.59158360362366,1.27287116833363,0.429739963501052,2.20449091750905,1.3034629954833,-0.229602778957429,-3.0379112696866,-3.07851495539187,-0.755785705036743,-1.08982300396721,-1.57271265510463,1.0742987709664,3.51277086300848,-4.05828403553483,-4.32916203612408,-3.98765242259252,-2.48872012170224,-2.79774506601492,-0.776647773561356,1.70124223465154,0.911431302133248,-0.93584542309819,-0.292806702361434,-1.71665087188138,-2.81770456288682,-2.87339594817705,-2.84657187260149,-2.57861750207269,-1.46046419476211,-4.42639282668727,-3.6094636336144,-2.85764205027973,-3.13322328403962,-2.93079179918922,-1.52034238027838,-1.15732500245101,-3.59858699209147,-3.172425618249
"S3",-6.56322817439789,-6.67819735249638,0,-6.54421352897544,-6.46008205313834,-6.60128327481565,-6.74396132116768,-6.16736747529386,-5.38148090950966,-4.572843442214,-4.3961272530396,-5.36211570562321,-1.7257000598069,-3.38011518958958,-0.155827303724889,-2.77575534072655,-3.55186911692138,-2.53375563820704,-5.35997654350349,-5.08973966267311,-4.61877310842632,-5.04796934899027,-5.24194807661815,-4.89684152984224,-3.07506095312001,-4.02149337477718,-6.79103616061143,-6.4057905782842,-2.18766238111414,-6.0992607111616,-1.85119773890823,-2.16987903979207,-1.34511798167082,-1.55669158946383,-1.60062959508141,-2.62458957471934,-1.85295205886562,-1.15428737681782,-1.62771472303709,-0.769922419361543,0.00105822528679666,-1.31857728352666,1.77562192177667,0.606848422739484,1.65115236405691,2.62614010481352,4.40528791446359,-1.72228937300059,-0.404077559579843,-1.37016207110203,2.43390816954204,1.38347847277213,3.18454420941502,1.86485757197918,4.22420019593804,4.00596918155634,1.52299162671398,0.285639916334977,-2.83015087181356,-2.58620141406904,-0.947440718637391,-1.37767469145593,-2.01686426092084,0.00100362152920968,2.26706485970213,-2.84280741722613,-3.7138195115645,-3.40892311433119,-1.80288613587038,-2.42225261407412,0.918962001785006,0.624645713413341,-0.0171935669802727,-1.69483138819501,-0.391476922050416,-1.45312122587632,-2.48440774134477,-2.51059921814487,-2.58080273109388,-2.59748355040464,-1.42330622628844,-4.13037989869201,-3.14840140896122,-2.33087172888736,-2.76240192900752,-2.55592515100876,-1.27354253623319,-1.15536501174886,-2.30690091077351,-2.94697754026299
"S4",-6.3078604499322,-6.67472075925131,-6.54421352897544,0,-6.35598785464984,-6.43990193386963,-6.54147995056221,-5.95924625234292,-5.67364582397844,-5.24370407620746,-5.06272075121463,-5.64588432963808,-2.82333752781265,-2.69730187837065,-1.32460478322502,-3.24391693632553,-3.37542566563341,-3.42785173712388,-5.35831740522503,-5.19173141927851,-4.59425936449328,-5.5556505567411,-5.16401003400074,-4.96602482669826,-2.75352721326973,-3.91905818323573,-6.72583211246991,-6.05213235198479,-2.6838258324314,-6.16085146279463,-1.99909059022831,-2.21976594535048,-1.91331159133394,-1.92864080860185,-2.13959186908082,-2.65980106677111,-2.09112397108825,-0.761065898608284,-2.0944461978345,-2.40788247897545,-3.08517111885809,-2.89656584708157,-0.101137437960555,0.228686422607136,0.0781399206391665,1.15469436569855,0.767744655623688,-1.69463421280069,-1.14178196191596,-1.55897519633403,1.7710706796021,1.95795122679455,1.29094045957849,1.07650861920912,1.33928943224342,2.02462194099015,1.9382433658324,0.156286478721921,-2.53981934889753,-2.1989382104624,-0.442188617331293,-0.982818796160008,-1.84598278626896,-1.3437136978173,-0.543834044817161,-3.37167352260159,-3.94009676888864,-2.79370544496185,-1.95203370790742,-2.52243490080444,-2.39274557235826,0.0937871637581419,-1.44342289220429,-2.16497978172669,-0.620009628626584,-1.37388278665873,-2.78425527698293,-3.01781660269095,-2.73450002871967,-2.37529589731527,-2.18962273035672,-3.79133035919895,-3.12892675566813,-2.65683511908711,-2.50550422051053,-2.81841438698218,-1.99696323681601,-1.92104855204126,-1.40687991720718,-2.55251000774414
"S5",-6.15251730408013,-6.12406583527325,-6.46008205313834,-6.35598785464984,0,-6.03415182010695,-6.22325579572046,-5.66038741305946,-5.39745231083483,-4.81531795376599,-4.78282508259917,-5.57110553636151,-2.48893700454091,-2.54099257973156,-2.99291842522268,-3.18128862567131,-3.89873766213624,-3.40076806185185,-3.66447562457405,-3.55301160763698,-3.14217481047892,-4.12516502655804,-4.5881449061767,-4.59725716380601,-3.45607526277451,-3.88905818578617,-6.08001894227888,-5.23692605957795,-1.73466248765097,-5.51334822601733,-1.85966658149425,-1.9218759772453,-1.09551872350539,-1.80957390073646,-1.70412892823977,-2.74821343253139,-1.73812319992258,-1.28142198821475,-1.82580294442997,-2.3225121974867,-2.44376312260026,-2.18829998273806,0.348788688693438,0.576747868731702,-0.709551368941756,1.35096682486637,0.324810838283941,-1.76581921572575,-0.461013910955112,-1.6271941756403,0.307121847901944,-0.0695426614183756,1.36758254570251,0.645280225216451,0.325817893314739,1.69000510203393,1.03780206446386,0.120392113964098,-2.83111305929758,-2.22166372129264,-0.725594454199434,-1.20684555570521,-1.78504344423332,-0.616516766970159,-0.604169376819457,-2.04512763094428,-2.3659668896547,-3.05892228775089,-1.07017590176371,-1.1545497094349,-0.036905546769996,0.0791738458286483,-1.55301782068872,-1.68629138250747,-0.649178522153916,-0.725007054685797,-2.75518352097293,-2.38047076188422,-3.09223347517308,-1.78594505863875,-1.61837389026643,-3.31248098480607,-3.09113155218892,-2.9124107791257,-2.48752721863704,-2.64361827292963,-1.6783413874418,-1.67581569464277,-1.08338478778351,-2.57602043397722
"S6",-5.83521539726502,-6.75474257318842,-6.60128327481565,-6.43990193386963,-6.03415182010695,0,-6.23878549019837,-6.16588395004611,-5.40167742892524,-4.6801288233419,-4.65772578129643,-5.5178207253109,-0.322427493153294,-2.43221614511771,1.14069959436117,-2.86955468476858,-3.70797296378583,-2.94541873636733,-5.94906521519705,-5.56858992556753,-4.93550731944689,-5.24472970737143,-4.48368407727629,-4.8186252241811,-2.74970884005571,-4.56530563907613,-6.38702989650302,-5.07364104698659,-1.94136251130189,-5.67050924449211,-2.08207171345657,-1.89471594073373,-1.39941106129388,-2.04615354373914,-2.57667257036913,-2.83802772955488,-1.56187179648336,-2.46068528104479,-1.78286827394297,-1.05771024989747,-1.14243165509764,-1.01021288817898,-0.0701843518639457,0.0817723629133505,0.37017732144689,1.3359854538156,0.735702531757348,-2.09495252639859,-0.533933642551289,-1.79247926605284,1.2185122876468,0.909128313046324,0.861513145109281,1.89858674178844,1.25627722385831,2.7087753618059,1.93629224859369,0.177506284187354,-3.09910995715581,-2.40651895966288,-0.495414336710988,-0.869359553484626,-0.976980508685298,0.325669932516955,0.49408847679326,-0.654063342763346,-2.14332658898179,-2.3342944778184,-1.67052633517709,-2.83229054883324,-0.877025062414572,2.71459416425705,0.4462894889673,-0.336125736335466,-0.756815384681792,-0.913720512107486,-1.08673572915415,-1.15046532248938,-2.59511589177367,-0.556795516365186,-0.725721315124653,-3.00130561967335,-2.81293433662807,-2.20816197427229,-1.9029010690366,-2.00201527643441,1.86205616405779,-0.643325996748392,-1.51716179819249,-2.61752508784168
"S7",-6.49698283276361,-6.86582712529177,-6.74396132116768,-6.54147995056221,-6.22325579572046,-6.23878549019837,0,-5.93694075487423,-5.48886255014288,-4.81369505118604,-4.75395388790091,-5.51168915320863,-1.64288066968268,-2.12454374910566,-1.17858907017697,-2.55801598759059,-3.76168395468088,-3.08675100996671,-5.89758517754475,-5.70211435427373,-4.91544524415356,-5.31250564559413,-3.9479458250159,-4.39590677212025,-1.85829694868147,-3.14339042860975,-5.81416839630892,-4.69544421644557,-0.578647843653179,-5.2668178166556,-0.244634681988395,-0.450932540787798,-1.61999918474001,-1.14770072366523,-1.74415176857721,-0.915458244985595,-1.46887647313712,-0.287756667711765,-1.16240285349157,-1.8675448439497,-2.12827266886312,-1.31407499339938,0.927446864144494,1.67742234748907,0.688623873366032,1.30449019879283,1.7197860258195,-1.45765332951425,-0.756787766436161,-0.971058098814715,1.81176704873978,1.80147504368522,1.61634340686163,1.89299163660842,1.61085328771666,2.63233470631519,1.58919471919716,0.0244428944618423,-2.04453080547211,-1.69825998760758,-0.205513889353734,-0.788312800840237,-1.38623220647398,1.28380380853367,1.40688730479603,-2.2463727957503,-3.48635772275831,-3.11410991644299,-1.78927016157867,-2.88554920337614,-1.95626658139754,1.33165826050574,-1.37619141959139,-1.04753961260696,0.949945698017988,-1.76450922046947,-2.62516499332275,-3.64468462092995,-3.16526032738571,-2.62349154927077,-2.0437423622071,-4.04661885493481,-3.24875636591933,-2.90702048310495,-2.63907496557405,-2.96959942537955,-1.98969462913315,-1.68417505014574,-1.34502615199799,-2.72309642156316
"S9",-6.15488105786736,-6.14840100017186,-6.16736747529386,-5.95924625234292,-5.66038741305946,-6.16588395004611,-5.93694075487423,0,-4.95318924309393,-4.45285735458247,-4.36063616239187,-5.13226883845999,-2.10534513928328,-3.25463311359675,-1.39284467375771,-3.33740113685089,-4.24413234030713,-3.27828245820423,-5.11926746753261,-4.8241633793525,-4.1304160554068,-5.06029496078004,-4.73955041942037,-5.06546192911746,-2.93451887330974,-4.829436777274,-6.49349309424317,-5.69342529729855,-1.06463329852676,-6.16769689424692,-2.96514283372307,-2.74673743891509,-2.52429487300815,-2.02197254263848,-1.90555326757761,-2.47639077249315,-1.95087161759216,-1.09066788827944,-1.63180184820709,-2.44993907234731,-3.07323680774882,-2.05078697034754,-0.890569313090334,-0.972908537416858,-0.58320202704406,0.0902016322150947,-0.0467493911599256,-2.51001646734099,-2.10846059779736,-2.10129766286128,0.353508189386762,0.191097713473016,0.210122438198338,0.107603593103602,-0.358656194782585,1.59690800549755,0.996155901197081,-0.270486968690621,-3.16552294746939,-3.22383321927498,-1.54753740975055,-1.50725952509402,-1.98633562768538,0.6107590201291,2.2504790564856,-3.98161896052739,-4.48104242273123,-4.51441083549903,-2.92777510559798,-3.72305840764625,-1.45394255475884,0.596864067429992,-1.38299336174465,-1.95758748223405,-0.950351781422272,-2.00819912119094,-3.58843926857958,-3.14185803198767,-3.57470197408695,-3.14060370070341,-2.3196901991514,-4.63574231094896,-3.42025503843147,-3.00652993158465,-3.26556527132196,-3.34109112953409,-1.57366118122453,-1.36306917833102,-3.74110685343486,-3.72432586265882
"S10",-5.04736415363294,-5.53565259932054,-5.38148090950966,-5.67364582397844,-5.39745231083483,-5.40167742892524,-5.48886255014288,-4.95318924309393,0,-4.17476512363996,-4.15688228988285,-4.6460185352128,-0.63702068848281,-1.92616895858492,-1.12973059673634,-2.51709217736553,-2.510939768905,-2.55976104883465,-4.81746138138093,-4.60451770739196,-4.08743791375923,-4.40436427220954,-3.79309138478597,-3.98279980641659,-1.88798712604885,-3.4171467509109,-4.68636840206483,-4.10921493201789,-0.726556152372241,-3.98407962067583,-0.737366208614445,-1.28125657883546,-1.08931080132643,-1.63643539179375,-1.62307316582127,-1.44922341719865,-1.43327992423807,-0.690605624065433,-1.14070917898835,-1.29591472816705,-1.90741808499432,-1.44845338369856,0.789228734122512,0.219120105575392,0.297789732595757,0.361849174611415,0.447209414348758,-1.31845282208445,-0.0920215284267797,-1.44646717517193,1.8831484208921,1.32538974067543,1.82611940018849,1.50341697094962,1.67387629274806,2.11700606949197,1.30664085066877,0.191681227466937,-2.20287949046887,-2.19498014650741,-1.2813349940402,-1.32040458946041,-1.63283543280751,0.01944081307125,2.759524166669,-1.05795775864965,-1.18751564162939,-2.0347785778788,-1.405008946702,-1.84516940199787,-2.02756368817011,1.63574137636718,-0.887446588534409,-1.52860390980696,-1.27370117177342,-1.37190804017103,-1.41832486530367,-0.93876355642514,-2.50257209250653,-0.882087641546831,-0.511940903278867,-2.56933042791857,-2.40987624819584,-2.09027845869129,-1.96161720084377,-1.57695689949312,-1.10921297142615,-0.766422552160316,-1.61365574834194,-2.53874647332107
"S11",-4.44180152336911,-4.82866012871,-4.572843442214,-5.24370407620746,-4.81531795376599,-4.6801288233419,-4.81369505118604,-4.45285735458247,-4.17476512363996,0,-3.6859619740289,-4.27316322065275,-1.20820181590902,-2.1007655865746,-0.896370709541971,-2.45442130898452,-2.3942536825108,-2.52512584852481,-4.67533067699817,-4.6482123788195,-4.02338096121052,-3.40346402632041,-3.20351484937139,-3.65716005420482,-2.48451645328578,-3.0799498133134,-4.4128546601544,-3.80540624531924,-1.29588824199193,-4.04361074919453,-1.53228518115907,-2.07451836809962,-2.02179661180562,-2.21474845916965,-1.56649411361461,-1.87944826540128,-1.75819171399449,-0.431834265273363,-1.54323237845163,-2.10289781740562,-1.84277484257263,-1.80038989264118,-0.147918142878623,-0.348737450361958,-0.414584353780367,-0.4833923471751,-0.0165492853397892,-1.60458206735947,-1.31594883150541,-1.42263152728362,0.679991748758579,0.902793022143542,0.572564822039653,0.584281664152242,0.428446256009245,0.923438022531627,0.463473908696267,-0.56315688228109,-1.94177458593039,-2.01960568479606,-0.935182350260313,-1.39808980926367,-1.46515229959028,-0.226181027044385,-0.421668101670762,-2.00439854554845,-2.29456820356446,-2.44685348181417,-1.72086070490473,-2.52303005855043,-0.497476195968592,0.410004545351828,-0.755512141655711,-0.618300611346133,-0.818123773442876,-0.465681317933569,-1.75435515605664,-1.69537272483554,-2.65057510207824,-1.43198113533091,-1.20495263468169,-2.5845440351152,-2.44640884390578,-1.96598775707463,-1.9697112812705,-2.09291386688712,-1.64595265256627,-1.16256180987724,-1.59508497348677,-2.51590710522863
