"","M2","M8","M14","M6","M4","M3","M12","M1","M7","M10","M9","M11","M13","M5"
"S1",0.764389180892184,-4.66342655506772,-0.46893868867233,-0.993014511785332,0.533327932116236,-1.98832609193591,-0.842951480135585,1.66744168173568,-1.09382040786033,-0.34362479858985,-1.61220883359046,-1.03836766520975,-0.381868482883182,-0.518632938677096
"S2",0.672909439416923,0.876275529177,1.09362100493857,-1.44526208310179,0.536834717315491,-1.99977471003912,-1.06922343354434,1.66151881425764,-10.5571829538749,-0.49935417244068,-1.63310589900813,0.598288311889424,0.307042760589522,-0.482092558634388
"S3",-0.0227097548318925,0.936477297655277,1.19122841124881,-1.431267351017,0.821194788392911,-2.08011033955623,-1.1813511827842,1.65982333868064,-7.68102782714888,-0.834072408944396,-1.58483131680592,0.598288311889424,0.47398782834701,-0.518632938677119
"S4",0.921082014928568,0.776148907476748,1.21979664119191,-1.36205592855441,1.02653276910898,-1.99611954471475,-0.788904060444676,1.6635113251318,-4.28724831976911,-0.882897953284407,-1.63634612469156,0.598288311889424,0.571603184729155,-0.464580005769023
"S5",1.22436962407218,-0.630082693483205,1.25092619507899,-1.46502289851662,12.8732865047079,-1.97383886278914,-0.957095684304473,1.64259760856362,-7.86880003971435,-0.318701101178647,-1.37676690711294,0.598288311889424,0.376372471964866,-0.482092558634382
"S6",1.49178894278049,-2.89625635755572,1.10522658110469,-1.42317262000581,9.82075302355204,-2.06963232045938,-1.06922343354434,1.66014390037503,-4.03672741543442,0.205222275998856,-1.66048341579266,0.598288311889424,0.0835264028184331,-0.518632938677115
"S7",1.41963372389895,-4.79165891454469,1.00535499116528,-1.46502289851662,3.95962643200893,-2.03788820563076,-0.957095684304473,1.65676934102821,-0.389802745495625,-1.16911182451148,-1.67897092618739,0.598288311889424,0.536207350661359,-0.518632938677115
"S9",0.93880740092609,-2.99550304517999,1.18301286937917,-1.36772136653272,0.137415256571128,-2.00253847533636,-0.901031809684541,1.65174201337969,-7.38232755564693,-0.460975932487613,-1.63310589900813,0.598288311889424,-0.0147976901923066,-0.511608402012311
"S10",1.4454804779965,-14.9339453848234,1.22801218306155,-1.3970593451706,6.73404287895353,-2.00420795617984,-1.1813511827842,1.6574732088931,-2.64678421781821,-1.03173946633262,-1.7361355147794,0.563359233443193,0.571603184729155,-0.507632318052389
"S11",1.43023841749702,-27.2898407171726,1.25092619507899,-1.47216716079304,3.7099282636911,-2.01061239059719,-1.12528730816427,1.63914429189472,-1.58017747468698,-1.19403552192269,-1.63958635037499,0.0279969164228423,0.571603184729155,-0.518632938677115
"S12",1.3124516633128,-22.8738860346976,1.21414242326625,-1.36330379767099,7.2165788656517,-2.00981245186201,-1.1813511827842,1.65570126129328,0.110687190331776,-1.06711046813077,-1.64865022985085,0.343478952485144,0.571603184729155,-0.50458386534751
"S13",1.34998381861096,-13.74675615651,1.12814059312214,-1.46921896421311,6.02462802741514,-1.96389105843825,-1.06922343354434,1.66337988902623,0.22964786946471,-0.820939045465906,-1.58483131680592,-0.484747956234062,0.571603184729155,-0.518632938677115
"S15",1.37015572495953,1.47004585304856,0.987266486720994,0.174935289582331,-0.83822570180056,-1.93250897623438,-0.500464249233965,1.64333475111941,1.14791045347513,1.89813401137951,-0.731005307212912,0.216074272783004,0.571603184729155,-0.518632938677115
"S16",0.849258364194932,1.54169078627994,1.20509817104411,0.102107613162906,-0.850650714720748,-1.93470997508749,-0.62071243658488,1.65598642951741,0.762176874182919,2.07577984448662,-1.18398464757037,0.598288311889424,0.571603184729155,-0.518632938677115
"S17",1.15258408339052,1.46652718576433,1.06761409893945,-0.130673695053924,-0.770828825175248,-1.97693656244419,-0.778794476602086,1.66136415898518,1.59653280373059,1.33448936470316,-1.31573642461573,0.598288311889424,0.571603184729155,-0.503423230546121
"S18",1.14872648179173,1.53103430176158,1.07892253479077,-1.3867088962501,-0.835978485125359,-1.9708458526571,10.912956741859,1.64382608143674,-2.18846775108627,3.81939570441923,-0.282543513459375,0.598288311889424,0.404658116971666,-0.511608402012313
"S19",1.17075812351395,1.29831607630803,0.998574922572311,-1.28319626344827,-0.749629798053653,-1.93430470072137,-0.272203150093674,1.65252394926449,-1.35650981642284,4.45774553771601,1.07835474979388,0.598288311889424,0.203779171906629,-0.518632938677115
"S20",0.879108702808252,1.39527330274719,1.21414242326625,-1.34341602924446,-0.612215563585577,-1.85074306762793,0.801130905796088,1.60767040296676,-1.54305422492785,4.30179272982002,-1.0774573218876,0.598288311889424,0.227125321241275,-0.518632938677115
"S22",0.885100040132881,1.3223704308092,1.23366640098721,-1.45457818713409,1.27112883105728,-1.85322244061472,-1.06922343354434,1.64400126453503,0.310706923357452,-0.90125496895637,-1.60196186175268,0.598288311889424,0.47398782834701,-0.510447767210924
"S23",1.24589423165359,1.43412168837293,1.23366640098721,-1.39138445517599,1.68412079810309,-1.96212859301684,-0.901031809684541,1.65764095979029,0.00456997061889208,-1.00815879846718,-1.71011496344284,0.470883632187284,0.571603184729155,-0.518632938677115
"S24",1.12407707191417,1.42062736915854,1.27384020709644,-1.43336538386525,3.7727742652921,-2.06157590068993,-0.957095684304473,1.64323845242307,0.429317211849815,-1.09369837415112,-1.54532419551335,0.598288311889424,0.376372471964866,-0.447049028035251
"S25",1.66486308604456,1.444907901261,1.08796678701291,-1.46627076763319,0.362930903960228,-2.0391031264693,-1.06922343354434,1.66583382013375,0.862300063351373,-1.31795333755969,-1.59887476535355,0.598288311889424,0.571603184729155,-0.518632938677115
"S26",1.61061661061479,1.65767807984504,1.23366640098721,-1.47216716079304,-0.812256655854465,-2.00296523199635,-0.508584687345015,1.65458341953422,-9.23392969638208,2.31910008730708,-0.708867139248385,0.476942958573382,-0.065720747905158,-0.518632938677115
"S27",0.984441166920696,1.48569015788343,1.13718484534428,-1.43200744725343,-0.790195347286741,-1.99376640434049,0.0621909518943786,1.65975151129789,-14.9061927716945,2.01402771595005,0.358410100165184,0.598288311889424,0.484575556319913,-0.518632938677115
"S28",1.34321619466448,1.42171096644494,1.17057858286054,-1.35950543735939,-0.791053799341033,-2.0230517352639,-1.06922343354434,1.63742127365967,0.958023209895771,4.11875959388804,-1.45098529371475,0.470883632187284,0.553905267695257,-0.518632938677115
"S30",0.130112891529256,1.47929513239623,1.00618370151778,-1.1818980194399,-0.838185023785957,-1.64417829050213,-0.844967935064609,1.66092938105478,-0.35865227448856,2.3654705989216,-1.51312882381333,0.598288311889424,0.571603184729155,-0.409011798548902
"S34",1.72785029295894,1.63547903460187,1.27384020709644,-1.46677555521704,-0.406832567622753,-2.02620613199334,-1.12528730816427,1.66686336405511,-1.12346070114851,1.41796099233816,0.413654238257725,0.598288311889424,0.571603184729155,-0.518632938677115
"S35",1.50164352421007,1.56533191723372,1.21979664119191,-1.46921896421311,-0.618410765820613,-2.00223247151504,-0.228265314245354,1.66205580805015,-1.41000066819912,2.49752915220967,-0.230336495006985,0.598288311889424,0.571603184729155,-0.484820016606624
"S36",1.36417593088495,1.32639392966943,1.13944902897345,-1.28439762173695,-0.744741805202087,-1.97788498374707,-1.12528730816427,1.65850655085959,1.52773816729646,1.5771013437837,-1.47735701162234,0.598288311889424,0.571603184729155,-0.49407742427854
"S37",1.50189086908589,1.42079291132155,1.14540038721392,-1.35923838215294,-0.767218628744903,-1.89572125332301,-0.93682189822433,1.6208313345991,-0.914945049830522,3.61410827540435,0.756161526833722,0.216074272783004,0.307042760589522,-0.482092558634377
"S61",-0.480428543599783,1.5155229772997,0.691485646055899,-1.43067848764222,-0.727101527140003,1.8728801408787,0.0662511709499036,0.97489435650849,1.36857497297294,-0.783903835058612,-1.58807154248935,0.537615635231403,0.571603184729155,-0.251560976398189
"S62",-6.38711014222378,1.5370041237382,0.558902274410879,-1.46796164308024,-0.788688417171632,1.1277447262865,0.518795077767405,0.598811638123304,1.72903555432238,-0.685230895896184,-1.35086827369135,0.598288311889424,0.571603184729155,0.263304783531449
"S63",-10.4803634212207,1.2711777818531,-0.751950356501156,-0.979711090135179,-0.871914389779747,2.00290916604914,0.57690271651384,-0.0422050531531458,1.60866666720259,-0.466199584681085,-1.45254092401465,0.343478952485144,0.571603184729155,0.206635765814973
"S65",-15.254514454186,1.25366083563005,0.380340492958012,-1.43398459241538,-0.803442609084515,0.0890292644717117,-0.33229993457165,0.552423252955139,1.44862398604555,-1.0819080402184,-1.45118395856668,-0.293544446025557,0.571603184729155,0.0318965295167518
"S85",-22.7620351754363,1.44607363776875,0.42767918315605,-1.46502289851662,-0.853326209760155,1.78151873171454,-0.957095684304473,1.56722903875921,1.65566060884108,-1.10548870808384,-1.58294805657046,0.598288311889424,0.571603184729155,-0.518632938677115
"S86",-2.07153818602374,1.34951693035111,-0.672800156605382,-1.43251522013357,-0.759571619017758,-0.589762771547575,-0.332272625374169,1.59287010832319,1.62243160290583,-0.956647195035627,-1.57918216366475,0.598288311889424,0.571603184729155,-0.518632938677115
"S87",-41.9214096393737,1.49260338671594,1.00391951788861,-1.43756144956175,-0.778304870953608,-1.04232810570152,-0.901031809684541,1.31449001729857,1.80259965486149,-0.88424098283018,-1.7119982236783,0.598288311889424,0.571603184729155,-0.180207098626985
"S88",-2.45879364892305,1.61244863697827,0.565904290432179,-1.15114791131137,-0.706023501913739,-0.431837999675807,-1.01315955892441,1.53693169053415,1.51555250494489,-1.41694745578549,-1.61992370492513,0.470883632187284,0.571603184729155,-0.518632938677115
"S89",-34.4945913864641,1.44335044498894,0.412152002655748,-1.42537095785715,-0.777529941531947,-1.50534648319047,-1.00909933986888,1.33951138175727,1.6235186557171,-1.31795333755969,-1.60896860790702,0.598288311889424,0.571603184729155,-0.477907112641688
"S112",1.43254358983007,1.46715711810573,1.16914310958387,-1.41303509924596,-0.809471104031059,5.63585020670454,-0.957095684304473,-0.288720963635107,1.69689278293922,-1.17567850625073,-1.45321972052124,0.598288311889424,0.422356034005564,0.406737797115621
"S113",1.50256803768229,1.51804965532615,1.10522658110469,-1.43756144956175,-0.8185942458877,26.3906211484688,-0.955079229375451,1.2689798770196,1.85369787396298,-1.20582585585541,-1.37229163389651,0.598288311889424,0.571603184729155,-0.283221809539526
"S114",1.37031251672178,1.5882287403141,1.10522658110469,-1.47216716079304,-0.805106234428934,6.6284213974159,-1.06113030463077,0.552717419073826,1.82155102418798,-1.37334556363895,-1.63634612469156,0.598288311889424,0.571603184729155,0.00771050488796074
"S161",2.00596161511467,1.41527259162754,0.655693452663167,-1.21374548906763,-0.83034095767005,7.40778941588188,-0.564648561964948,-7.17108725280586,1.83343945446456,-1.25599442974119,-1.48601714179089,0.598288311889424,0.278757115582722,0.827541126317559
"S162",1.95313598727794,1.43993668442944,0.959526967130394,-1.17994003719492,-0.863932572087684,3.4508087568106,-0.562632107035926,-7.18231031126943,1.27662638549644,-1.11371959843222,-1.30734338433966,0.343478952485144,0.422356034005564,0.603302889987409
"S164",1.95618370506366,1.41265430557245,-2.96472044609282,-1.38196595783166,-0.791522567697672,4.73644094262104,-0.62071243658488,-5.76912169117678,1.76151214619404,-1.16911182451148,-1.53738803282941,0.598288311889424,0.347378090329471,-0.170253064077101
"S165",2.05144923564632,1.30478285025307,0.802221776989968,-1.05908070096986,-0.869311420405872,5.72812237503899,0.220245682714103,-4.13173844037344,1.4135944329656,-1.4418711531967,-1.24512472702413,0.598288311889424,0.484575556319913,-0.333210796427473
"S166",2.04684329874573,1.49092082967849,-0.0914246916903062,-1.26934403158967,-0.856506739089829,8.91919038463116,-0.788904060444676,-6.50017392443135,1.62438121498083,-1.5038300610152,-1.39370541707488,0.598288311889424,0.571603184729155,-0.240850788946135
"S167",2.05328375271185,1.5570897145023,0.430177796508103,-1.38752400313517,-0.836975601106281,-0.554858213709598,-0.844967935064609,-0.0663762429832822,1.59536309768467,-0.249854332557532,-0.783275970419744,0.343478952485144,0.181141759200577,-0.379286593138201
"S168",1.94584715883421,1.63110068888278,0.636169474942209,-1.17993073595259,-0.845602787967833,-0.353850445482027,-0.728779966769219,-1.15011907900762,1.70907920346189,-1.10548870808384,-0.973439076983344,0.216074272783004,0.00930167927399076,-0.250433862288952
"S169",2.09640238946925,1.29688583724976,0.380725308453852,-1.1545190397233,-0.807868310586102,-0.120983360663804,-0.612619307671311,-0.291360288562084,1.25391970276753,-0.839296061137869,-1.14902448290505,0.598288311889424,0.227125321241275,-0.242700573247362
"S170",1.97994314117651,1.53424896333859,0.864702832192468,-1.25761013429409,-0.846551476132571,5.36715148090981,-0.844967935064609,-10.7682041218178,1.98061126599568,-1.37991224537819,-1.49260429633364,0.598288311889424,0.370724239664117,9.68219683843507
"S171",2.05026630602723,1.48685846785389,0.771389363417694,-1.21858685420107,-0.876417472868599,6.20688319007889,-0.564648561964948,-10.2882488421972,1.95601035336025,-1.37991224537819,-1.36747315141583,0.598288311889424,0.571603184729155,7.04291107296228
"S172",2.06403572969715,1.58192624481177,0.693825022571553,-1.33051961206519,-0.87792448668201,7.56127676221382,-0.786887605515655,-8.4492814012933,2.014163082483,-1.0199491323999,-1.22816805516343,0.598288311889424,0.571603184729155,4.69461961176408
"S173",2.01173156903117,1.27138119195101,0.346737290307973,-1.26930423439801,-0.838797213093498,4.54493899088315,-0.901031809684541,-11.3680502564746,1.92884570547258,-1.39170257931091,-0.960478174249615,0.598288311889424,0.47398782834701,4.46843287137043
"S174",2.06925054248796,1.50678441677009,0.597653089537984,-0.963811007729588,-0.874663657864112,16.7492024371536,-0.67475985627579,-12.0726242970925,2.0760809009712,-1.32974367149241,-1.2572849153363,0.470883632187284,0.519971390387708,3.42330648430502
"S175",2.09984854591425,1.48752726315965,1.02178607490456,-1.11909643638213,-0.876441641049537,6.47286580923643,-0.676776311204812,-11.3576463099525,2.03640415844213,-1.31795333755969,-1.37907646113639,0.598288311889424,0.466877639286015,2.45873562678134
"S176",2.12431264889784,1.2907644413563,1.09957236317904,-1.38706709213486,-0.858776820341893,-0.182570138535205,-0.892911371573491,-3.97970849187756,2.09835404959855,-1.43530447145745,-1.33685540894786,0.598288311889424,0.47398782834701,-0.292337849186745
