"Taxa","Method","Group","LDA","P.unadj","P.adj"
"k__Bacteria|p__Proteobacteria","LEfSe","CW",4.83741490480955,3.20957012144591e-11,1.07590372331948e-09
"k__Bacteria|p__Acidobacteria","LEfSe","IW",4.79734525693066,5.74913740784292e-12,2.95505662763126e-10
"k__Bacteria|p__Acidobacteria|c__Acidobacteria","LEfSe","IW",4.79711939680916,8.55915478270487e-13,6.94642982891101e-11
"k__Bacteria|p__Bacteroidetes","LEfSe","TW",4.78200800691964,1.19023021757755e-09,1.52944582958715e-08
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria","LEfSe","CW",4.61302192087796,5.47469748218776e-12,2.91102879914949e-10
"k__Bacteria|p__Firmicutes","LEfSe","CW",4.53276816229085,2.25671919559105e-07,1.4830756204664e-06
"k__Bacteria|p__Chloroflexi","LEfSe","IW",4.48417745584232,0.000211229760930231,0.000674360851665458
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria","LEfSe","TW",4.48258124373524,1.08046857169395e-09,1.43063531609039e-08
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria","LEfSe","CW",4.4087684734211,5.85910295529009e-09,6.11979352125948e-08
"k__Bacteria|p__Chloroflexi|c__KD4-96","LEfSe","IW",4.36960694279298,3.79489835036335e-08,3.11151420041853e-07
"k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia","LEfSe","TW",4.36709506767323,7.70445458783167e-10,1.08993293343454e-08
"k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales","LEfSe","TW",4.36709506767323,7.70445458783167e-10,1.08993293343454e-08
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae","LEfSe","CW",4.35514349083276,2.54038510820719e-11,9.10993915547789e-10
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia","LEfSe","CW",4.35351842246441,4.90535677830378e-11,1.43385982602986e-09
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales","LEfSe","CW",4.35351842246441,4.90535677830378e-11,1.43385982602986e-09
"k__Bacteria|p__Verrucomicrobia","LEfSe","IW",4.29116988490214,7.76436760089964e-07,4.48414038973305e-06
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Subgroup 3","LEfSe","IW",4.25636188414783,1.38692377522396e-12,1.06931823069767e-10
"k__Bacteria|p__Firmicutes|c__Bacilli","LEfSe","CW",4.24688073460404,6.6810503311183e-09,6.68972701986001e-08
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales","LEfSe","CW",4.23532318780185,7.58855901910594e-13,6.89174531818152e-11
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae 1","LEfSe","IW",4.23307018044445,0.00210419067136823,0.00515025716706318
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae 1|g__Clostridium sensu stricto 13","LEfSe","IW",4.22568870065745,1.05144954024337e-05,4.71351558318289e-05
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Subgroup 6","LEfSe","IW",4.22048521197756,7.05025626646235e-08,5.27742483635192e-07
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales","LEfSe","CW",4.21190698769834,3.79117077390741e-08,3.11151420041853e-07
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales","LEfSe","TW",4.20631478205751,1.08693152420874e-09,1.43063531609039e-08
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales","LEfSe","CW",4.18133194923716,1.78945381979254e-08,1.61364783047958e-07
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales","LEfSe","CW",4.17376153124765,1.69181144269399e-11,6.58731532346835e-10
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae","LEfSe","CW",4.17376153124765,1.69181144269399e-11,6.58731532346835e-10
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Subgroup 4","LEfSe","IW",4.16309342566291,1.56692305838377e-09,1.94854464195788e-08
"k__Bacteria|p__Verrucomicrobia|c__Spartobacteria","LEfSe","IW",4.14219048744559,3.09665496344211e-07,2.00632014858308e-06
"k__Bacteria|p__Verrucomicrobia|c__Spartobacteria|o__Chthoniobacterales","LEfSe","IW",4.14219048744559,3.09665496344211e-07,2.00632014858308e-06
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales","LEfSe","IW",4.12555410767802,2.72464229313942e-10,4.88534699537324e-09
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae","LEfSe","TW",4.11997064080986,5.60809329103513e-10,8.39580568424871e-09
"k__Bacteria|p__Bacteroidetes|c__Bacteroidetes vadinHA17","LEfSe","TW",4.11794706819983,1.61531719854172e-06,8.92766709731662e-06
"k__Bacteria|p__Actinobacteria|c__Actinobacteria","LEfSe","TW",4.11792331025419,0.000165431056559797,0.00054624130452935
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Acidobacteriales","LEfSe","IW",4.10934359919823,1.35720925105118e-10,2.79042222016122e-09
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Acidobacteriales|f__Acidobacteriaceae (Subgroup 1)","LEfSe","IW",4.10934359919823,1.35720925105118e-10,2.79042222016122e-09
"k__Bacteria|p__Verrucomicrobia|c__Spartobacteria|o__Chthoniobacterales|f__DA101 soil group","LEfSe","IW",4.10229943052162,1.46490268756172e-05,6.4172725688073e-05
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia","LEfSe","TW",4.06721699911219,2.32444455976881e-10,4.41472861640749e-09
"k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__OM1 clade","LEfSe","CW",4.06221786806402,8.98768179099731e-08,6.50657526841214e-07
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Subgroup 3|f__|g__Candidatus Solibacter","LEfSe","IW",4.05237553779134,3.97770563799957e-10,6.0728931621736e-09
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__JTB255 marine benthic group","LEfSe","CW",4.04978960596261,7.27035017903268e-13,6.89174531818152e-11
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales","LEfSe","TW",4.03236045069536,0.00207170122868664,0.00507879697080255
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","LEfSe","TW",4.0125006463494,6.14862917695026e-05,0.000227366575320319
"k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales","LEfSe","IW",4.01159492499226,3.80109256643045e-09,4.27831002732537e-08
