"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_50","OTU_50",2,0,0.230142752562225,"M2",-1.30519876734311,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__"
"OTU_305","OTU_305",3,4,0.139397266959492,"M8",1.11803398874989,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Syntrophus","s__"
"OTU_1","OTU_1",21,2,1.40891898487067,"M2",-0.0406719162628165,0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae 1","g__Clostridium sensu stricto 13","s__"
"OTU_41","OTU_41",1,0,0.160291605661298,"M14",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__PeM15","f__","g__","s__"
"OTU_59","OTU_59",3,2306,0.558809175207418,"M6",0.77709281262705,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidia Incertae Sedis","f__Draconibacteriaceae","g__","s__"
"OTU_2733","OTU_2733",1,0,0.0651232308443143,"M17",NA,NA,NA,"k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__RB41","g__","s__"
"OTU_4050","OTU_4050",2,4,0.0195217179111762,"M4",-0.295393520039156,0.444444444444444,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 15","f__","g__","s__"
"OTU_4147","OTU_4147",23,2412,0.061920448999512,"M3",3.35621690573339,0.444444444444444,"Module hubs","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Halioglobus","s__"
"OTU_12367","OTU_12367",2,1,0.0271473889702294,"M12",1.15470053837925,0.444444444444444,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__","s__"
"OTU_1646","OTU_1646",5,62,0.0417886774036115,"M1",-0.65923609588673,0.225694444444444,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Order Incertae Sedis","f__Family Incertae Sedis","g__Marinicella","s__"
"OTU_55","OTU_55",3,0,0.235633235724744,"M2",-1.23864472254941,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__RB41","g__","s__"
"OTU_84","OTU_84",1,0,0.383723767691557,"M14",-0.577350269189626,0.37037037037037,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Illumatobacter","s__"
"OTU_3303","OTU_3303",3,6,0.0896778916544656,"M8",1.11803398874989,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__"
"OTU_16","OTU_16",3,7,0.517630551488531,"M7",1.11803398874989,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__"
"OTU_12","OTU_12",2,4,0.968917764763299,"M8",0,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__"
"OTU_117","OTU_117",3,667,0.162426793557833,"M14",1.15470053837925,0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__PHOS-HE36","g__","s__"
"OTU_25","OTU_25",3,6,0.44869448511469,"M7",1.11803398874989,0.2265625,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__"
"OTU_13824","OTU_13824",18,8,0.284742557345046,"M2",-0.240334050643916,0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae 1","g__Clostridium sensu stricto 13","s__"
"OTU_102","OTU_102",2,0,0.346205466081015,"M7",0,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__","s__"
"OTU_78","OTU_78",2,334,0.105844314299658,"M6",-0.111013258946721,0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__"
"OTU_79","OTU_79",1,0,0.192471937530503,"M7",-1.11803398874989,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__"
"OTU_151","OTU_151",1,0,0.0481942410932162,"M2",-1.37175281213681,0.444444444444444,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__"
"OTU_2562","OTU_2562",1,0,0.0138787213274768,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__"
"OTU_109","OTU_109",9,273,0.178898243045388,"M3",0.769420309531319,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__Anderseniella","s__"
"OTU_4731","OTU_4731",41,2782,0.0628355295265983,"M2",1.29040897961118,0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU_220","OTU_220",5,6,0.43146046852123,"M3",0.0303355677592993,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Order Incertae Sedis","f__Family Incertae Sedis","g__Marinicella","s__"
"OTU_2835","OTU_2835",1,0,0.0173865300146413,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sva0485","f__","g__","s__"
"OTU_11","OTU_11",1,0,0.442746461688629,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__"
"OTU_390","OTU_390",29,178,0.180423377257199,"M2",0.491760442086782,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__"
"OTU_2725","OTU_2725",1,0,0.0617679355783309,"M17",NA,NA,NA,"k__Bacteria","p__Verrucomicrobia","c__Spartobacteria","o__Chthoniobacterales","f__DA101 soil group","g__","s__"
"OTU_254","OTU_254",1,0,0.220991947291362,"M10",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__"
"OTU_673","OTU_673",1,0,0.0681734992679356,"M9",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__","s__"
"OTU_1349","OTU_1349",1,0,0.105996827720839,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Order Incertae Sedis","f__Family Incertae Sedis","g__Marinicella","s__"
"OTU_67","OTU_67",7,12,0.194607125427038,"M2",-0.972428543374613,0.476370510396975,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cyclobacteriaceae","g__Algoriphagus","s__"
"OTU_1816","OTU_1816",5,342,0.0298926305514885,"M3",0.0303355677592993,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_578","OTU_578",1,0,0.170662518301611,"M8",-1.11803398874989,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__"
"OTU_7991","OTU_7991",3,346,0.0158613958028306,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__ABS-19","g__","s__"
"OTU_82","OTU_82",5,999,0.457082723279649,"M9",1.73205080756888,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__"
"OTU_341","OTU_341",2,0,0.0703086871644705,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Limnobacter","s__"
"OTU_13463","OTU_13463",1,0,0.103556612981942,"M2",-1.37175281213681,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__"
"OTU_952","OTU_952",1,0,0.0355356271351879,"M15",NA,NA,NA,"k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__"
"OTU_165","OTU_165",2,0,0.128416300634456,"M6",-0.111013258946721,0.375,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__"
"OTU_357","OTU_357",25,3280,0.314025134211811,"M2",0.225544262911983,0.32,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__"
"OTU_7417","OTU_7417",15,259,0.030960224499756,"M1",0.266007547463067,0.24,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_349","OTU_349",1,0,0.0686310395314788,"M6",-0.999119330520493,0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Luteolibacter","s__"
"OTU_158","OTU_158",1,0,0.0277574426549536,"M12",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Arenimonas","s__"
