"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Coverage"
"S1",2312,3603.13242009132,106.589525783318,3764.19004334437,35.5432199409784,6.77789621190293,0.99635234,274.148358125483,943.221280960171,0.8936
"S2",2264,3294.55672268908,86.8801384670463,3527.80699099606,34.6587609637826,6.75615175635211,0.99644116,280.99043508559,912.278352371753,0.9009
"S3",1891,2592.86436170213,68.721503587662,2684.83784241824,27.9618012031417,6.54316839552058,0.99603456,252.178825048418,690.079224249794,0.9273
"S4",1871,2543.68079800499,65.3010713745074,2690.54406521287,28.3639577295987,6.45310443272548,0.99522396,209.378480917245,679.040843647301,0.9265
"S5",1784,2624.11538461538,78.3256688951979,2894.6081806189,32.6886586926323,6.18258994492623,0.99395142,165.328060470391,632.016986852831,0.919
"S6",1760,2730.49132947977,91.0206363012383,2963.9109426346,32.9243023840347,6.18721175290476,0.99374668,159.915053123781,619.32598378669,0.918
"S7",1831,2639.08266666667,76.824980903337,2844.67958206736,30.9099431565965,6.38800374319726,0.99486776,194.846694620672,657.221136957946,0.9221
"S9",2218,3254.66974595843,89.7340821209081,3378.05178691434,32.6133636106967,6.75007104350397,0.99593444,245.968575054851,883.143766871406,0.9052
"S10",1628,2609.93103448276,94.1848233121001,2905.59359773589,33.4476811767834,5.87998556569069,0.98793136,82.8593776929298,551.656284895379,0.9208
"S11",1601,2408.02893890675,81.0809867373549,2529.00509045949,28.9015749530657,5.83841098405426,0.98097534,52.5633572426524,538.25282589368,0.9291
"S12",1552,2094.33717579251,57.5048545273153,2262.46538649064,27.2252913498591,5.83196333077258,0.98391944,62.1868890138154,514.302267165976,0.9386
"S13",1721,2401.41935483871,67.277278742982,2571.62940053942,29.0398353249514,6.08320364241437,0.99019738,102.013543318011,598.95919293532,0.9288
"S15",2025,3043.50806451613,92.5692830523655,3159.7880859664,31.9694697207767,6.70863827176515,0.9970347,337.234006677233,766.284702678107,0.9129
"S16",1927,2601.82133995037,65.3724312741397,2727.26147940871,28.1706300292724,6.597528584801,0.99633266,272.677199277951,710.166097647566,0.9262
"S17",2005,3136.91578947368,100.116036189547,3353.28458437191,34.7553422957932,6.52954389343612,0.99543944,219.271317557493,754.659351017965,0.9072
"S18",2269,3246.22151898734,83.41697886714,3465.64058965491,33.6489641962096,6.76612776374438,0.99510284,204.199985297601,915.475629389955,0.9037
"S19",2150,3001,77.1427891055208,3084.53848491623,29.8738116954719,6.73414447704136,0.99595638,247.303159050554,840.99047424863,0.9148
"S20",2284,3162.78957915832,75.6546641756541,3347.97722814479,32.2601322334524,6.79502978981719,0.99476914,191.173153171754,925.10355697395,0.9063
"S22",1983,3081.78048780488,98.6287780622113,3222.44905776443,33.1403316877563,6.50256534927833,0.99437574,177.801168509279,741.974205750868,0.9099
"S23",2092,2925.48054919908,75.3468739885044,3075.40098572566,30.4591334213032,6.64511253824622,0.9947878,191.857564943786,805.884402941151,0.9146
"S24",1805,2433.73969072165,62.5329454160578,2550.96181806381,27.6568607021318,6.25776225776725,0.9896597,96.7089929692562,643.220782793474,0.9301
"S25",1784,2850.25294117647,98.7118633006974,3155.95479310608,34.7737338512315,6.1508690826839,0.99076992,108.341422826238,632.016986852831,0.9148
"S26",2187,3390.70975609756,102.788887997026,3529.22858986442,34.6570450803294,6.69269410448116,0.99646822,283.143344149409,863.792414637884,0.9006
"S27",2212,3084.97494780793,76.1302134344652,3273.22123836441,32.1259678557523,6.68539009672573,0.99553062,223.744680470222,879.380611760227,0.9085
"S28",2028,3095.5311778291,91.8523848987688,3470.2945050044,37.7572217997295,6.30358913070196,0.98968492,96.9454429825072,768.036209745182,0.9038
"S30",2117,2762.65656565657,59.7753427738905,2943.09890623506,29.4307689907095,6.66031018271494,0.99544032,219.313636044635,820.921531963943,0.92
"S34",2100,2935.00240384615,76.5182420766523,3056.56039335328,30.0188820806509,6.78116210351928,0.9969545,328.35330815958,810.680733056468,0.9166
"S35",1970,2530.56511056511,56.5054156283832,2610.21293724545,25.7676556326655,6.77049271424615,0.99691628,324.283657400802,734.528775002091,0.9324
"S36",1522,2105.0593220339,60.4879986090921,2329.14081301589,29.0813139778008,5.93816401879342,0.99214884,127.36971352004,499.875149590448,0.9357
"S37",2488,3368.95238095238,73.1757874696059,3608.50559263428,32.8678155081893,7.07631838406545,0.99793982,485.394480093972,1061.54824054677,0.9
