"ID","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"OTU_4272",1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,3,1,0,0,0,0,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,2,0
"OTU_236",1,1,0,1,28,2,60,0,58,7,31,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_399",0,3,0,5,3,0,1,3,0,3,0,1,0,0,0,0,1,3,0,3,1,0,1,3,0,2,0,1,0,3,4,19,36,19,0,3,1,2,1,1,0,1,3,1,1,0,0,5,7,0,2,0,0,0,0,0,0,2,11,7,0,0,0,0,0,1,0,1,11,27,2,0,3,2,0,6,3,0,0,1,0,4,4,0,1,2,4,0,0,3
"OTU_1556",2,5,7,4,0,3,1,0,0,2,0,3,0,5,1,1,0,1,2,0,0,2,2,3,1,7,6,3,0,0,0,1,1,1,1,4,1,1,1,1,1,0,4,13,0,16,7,37,11,29,0,0,1,0,1,3,2,0,41,14,0,0,0,0,1,4,3,1,1,9,7,1,0,0,3,0,0,1,6,5,0,0,6,2,11,1,1,4,11,0
"OTU_32",40,7,21,2,72,132,91,18,94,8,11,46,1,4,1,2,3,17,9,4,45,1,11,7,4,16,6,0,0,4,5,2,8,2,4,21,0,4,1,4,3,2,2,3,6,4,4,11,3,25,5,1,4,2,5,5,5,4,2,8,8,8,4,1,2,0,1,5,3,2,16,3,6,1,6,6,9,2,20,21,11,35,19,17,3,7,10,12,35,14
"OTU_706",0,0,0,4,0,0,1,0,0,0,1,0,0,0,1,3,0,1,0,3,2,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"OTU_2246",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_3692",2,0,1,1,1,0,3,4,0,0,0,1,10,2,2,1,10,3,1,2,0,0,0,0,5,1,0,1,0,3,3,2,2,2,2,7,5,4,1,9,8,11,4,1,0,2,1,6,2,1,1,0,3,4,1,0,0,1,1,2,5,0,1,2,1,13,17,8,9,20,1,16,10,1,15,4,5,2,4,0,1,2,9,0,5,4,7,1,2,0
"OTU_5342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_50",9,0,0,1,4,5,2,1,2,3,9,3,0,1,0,3,10,4,2,3,2,1,2,0,1,3,0,0,0,2,3,11,10,6,2,2,0,1,0,2,0,3,6,5,2,1,3,10,6,8,4,5,2,2,13,13,3,2,10,15,76,18,48,1,6,43,62,53,68,310,41,49,111,106,33,68,18,7,10,35,19,15,18,2,2,8,31,6,6,16
"OTU_8058",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,4,1,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_7152",0,0,0,0,5,0,1,1,0,5,4,2,0,0,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"OTU_999",1,0,0,0,0,2,2,1,1,0,0,0,4,0,0,3,0,6,0,2,0,0,0,0,3,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,10,0,1,0,3,1,6,1,7,27,23,18,4,10,3,28,2,7,4,8,2,3,3,4,0,0,0,0,2,3
"OTU_3650",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0,0,2,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"OTU_305",12,0,5,0,4,10,9,17,14,6,12,23,0,0,1,0,0,0,0,0,2,0,0,0,2,4,0,0,0,1,0,4,4,0,2,0,0,1,1,0,0,2,1,2,0,3,3,4,4,8,1,2,3,4,2,2,2,5,9,26,24,29,21,0,1,8,6,9,14,33,72,6,31,32,38,5,60,3,64,5,1,13,11,18,27,36,46,14,20,50
"OTU_11016",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_13742",1,0,0,0,0,1,0,0,0,0,0,0,13,1,6,8,7,4,0,0,2,0,4,2,10,1,0,0,0,3,5,0,0,3,4,1,0,3,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,2,5,4,2,2,1,4,1,2,5,5,2,15,1,15,3,0,1,0,1,0,1,2,3,1,1,0
"OTU_4502",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,25,1,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1
