Package	where	description
MASS	trans_diff class	linear discriminant analysis
GUniFrac	cal_betadiv()	UniFrac distance matrix
ggpubr	plot_alpha()	some plotting functions
randomForest	trans_diff class	random forest analysis
ggdendro	plot_clustering()	plotting clustering dendrogram
ggrepel	trans_rda class	reduce the text overlap in the plot
agricolae	cal_diff()	multiple comparisons in anova
picante	cal_alphadiv()	Faith¡¯s phylogenetic alpha diversity
pheatmap	plot_cor(pheatmap = TRUE)	correlation heatmap with clustering dendrogram
tidytree	trans_diff class	plot the taxonomic tree
igraph	trans_network class	network related operations
rgexf	save_network()	save network with gexf style
ggalluvial	plot_bar(use_alluvium = TRUE)	alluvial plot
ggh4x	plot_bar	multiple facets
FSA	trans_alpha and trans_diff class	Dunn's Kruskal-Wallis Multiple Comparisons
rcompanion	trans_alpha class	convert asterisk signif to letters
gridExtra	trans_diff class	merge plots
